Date, LogReturn
2007-01-04,0.0012275324972152997
2007-01-05,-0.006103167832470129
2007-01-08,0.0022178570774974288
2007-01-09,-0.0005168094993646467
2007-01-10,0.001938471807337008
2007-01-11,0.006319861629223327
2007-01-12,0.004841427093058067
2007-01-16,0.0008174608723255756
2007-01-17,-0.0008943374184001605
2007-01-18,-0.002975161375757787
2007-01-19,0.002891281554245473
2007-01-22,-0.005291886366783456
2007-01-23,0.0035357071117870357
2007-01-24,0.00846553642839807
2007-01-25,-0.01133378773070705
2007-01-26,-0.0012086595354295969
2007-01-29,-0.0010975508115664014
2007-01-30,0.005755498607645567
2007-01-31,0.006571245841597129
2007-02-01,0.005339451523831852
2007-02-02,0.0016930162521957197
2007-02-05,-0.0009670748024880951
2007-02-06,0.0006977639370160676
2007-02-07,0.0013940689469243953
2007-02-08,-0.0011799630061502266
2007-02-09,-0.007102376113371196
2007-02-12,-0.0032667120978962082
2007-02-13,0.0075687747329175785
2007-02-14,0.0076150120631249705
2007-02-15,0.001037055499453231
2007-02-16,-0.0008721613605295131
2007-02-20,0.002840277783407165
2007-02-21,-0.0014054379715543585
2007-02-22,-0.0008579243533695572
2007-02-23,-0.0035700389567874836
2007-02-26,-0.0012548932397342684
2007-02-27,-0.035342660843100726
2007-02-28,0.005545484952734019
2007-03-01,-0.0025978059773005212
2007-03-02,-0.011468261829749615
2007-03-05,-0.009452209514841423
2007-03-06,0.015374780717887004
2007-03-07,-0.002468314486799026
2007-03-08,0.0071013477307829646
2007-03-09,0.0006773922729208479
2007-03-12,0.0026766986224967043
2007-03-13,-0.02057857550740609
2007-03-14,0.0066688801649587605
2007-03-15,0.0036769799595125943
2007-03-16,-0.003835655701215665
2007-03-19,0.01083556904272735
2007-03-20,0.0063134819115044745
2007-03-21,0.016936643202980273
2007-03-22,-0.00034848304730820604
2007-03-23,0.0010937916027600407
2007-03-26,0.000967434525865559
2007-03-27,-0.006203560368758968
2007-03-28,-0.007997684815493823
2007-03-29,0.0037327485166896573
2007-03-30,-0.0011746852375143864
2007-04-02,0.002593696866817386
2007-04-03,0.009237307072510437
2007-04-04,0.0011121987409165861
2007-04-05,0.00304531397039247
2007-04-09,0.0005885503670995764
2007-04-10,0.0026132260269691302
2007-04-11,-0.006594524912466886
2007-04-12,0.0061871166861128075
2007-04-13,0.0034819311653259176
2007-04-16,0.010598542873156813
2007-04-17,0.0021430131114731073
2007-04-18,0.0006929527910064429
2007-04-19,-0.0012027736577713097
2007-04-20,0.009218086660297053
2007-04-23,-0.002306644470370378
2007-04-24,-0.0003512055496236482
2007-04-25,0.010088033702708324
2007-04-26,-0.0007827245066179984
2007-04-27,-0.00012050497563288578
2007-04-30,-0.007861748709062836
2007-05-01,0.0026476879873137942
2007-05-02,0.006451588538502732
2007-05-03,0.0043157516194131645
2007-05-04,0.0021475870756333293
2007-05-07,0.002560437459192035
2007-05-08,-0.0011666511956337745
2007-05-09,0.0032182165109129485
2007-05-10,-0.014054581884656235
2007-05-11,0.009595315462487675
2007-05-14,-0.001794584178452379
2007-05-15,-0.001304834544834399
2007-05-16,0.008589542804573146
2007-05-17,-0.0009184441716888588
